action,support,supported
taxi-inform,39,True
train-nooffer,38,True
restaurant-inform,38,True
hotel-recommend(postcode),33,True
train-offerbook(departure),33,True
train-nooffer(leaveat),32,True
train-offerbook(bookpeople),30,True
hotel-recommend(phone),29,True
booking-nobook(bookstay),29,True
hotel-select(choice),28,True
train-offerbooked,28,True
hotel-nooffer(parking),27,True
attraction-select(area),27,True
booking-inform(booktime),26,True
attraction-inform,26,True
attraction-select(name),26,True
train-offerbook(day),25,True
hotel-nooffer(internet),25,True
train-select(arriveby),24,True
attraction-select(entrancefee),24,True
booking-inform(bookstay),23,True
train-inform,22,True
train-select(trainid),21,True
train-offerbook(price),20,True
train-nooffer(departure),18,True
booking-nobook(bookpeople),17,True
train-nooffer(destination),17,True
train-select(departure),16,True
train-select(day),15,True
restaurant-select(choice),15,True
restaurant-recommend(choice),14,True
train-nooffer(day),14,True
booking-nobook(ref),13,True
booking-inform(ref),13,True
attraction-inform(openhours),12,True
hotel-recommend,12,True
attraction-recommend(choice),11,True
hotel-select(parking),11,True
train-select(destination),11,True
restaurant-recommend,11,True
train-inform(bookpeople),10,True
hotel-select(internet),10,True
train-offerbooked(duration),9,False
hotel-recommend(choice),9,False
hotel-nooffer(name),8,False
taxi-request(bookpeople),8,False
train-offerbook(choice),8,False
train-offerbook(duration),8,False
attraction-recommend,7,False
train-nooffer(arriveby),6,False
train-select(choice),5,False
restaurant-select(address),5,False
attraction-select(choice),5,False
hotel-nooffer(choice),4,False
attraction-nooffer(name),4,False
restaurant-nooffer(name),4,False
train-offerbook(ref),3,False
attraction-recommend(openhours),3,False
train-offerbooked(choice),3,False
booking-request,2,False
train-nooffer(trainid),2,False
train-nooffer(choice),2,False
hotel-select(address),2,False
taxi-request,2,False
train-select(bookpeople),2,False
attraction-select(phone),1,False
restaurant-nooffer(choice),1,False
hotel-select(phone),1,False
taxi-request(type),1,False
train-select(price),1,False
attraction-nooffer(choice),1,False
taxi-inform(choice),1,False
police-inform,1,False
train-request,1,False
taxi-request(bookday),1,False
attraction-request(phone),1,False
attraction-select(address),1,False
restaurant-request,1,False
attraction-nooffer(address),1,False
